title,summary,updated,slug,parsedContentBody,summary,title,published,metadata,categories,href,author
1 Microsoft Office365,"<h2>Microsoft Office &amp; Office 365</h2>

<p>Microsoft Office productivity tools include Word, Excel, Access, Publisher, PowerPoint, <a href=""https://warwick.ac.uk/services/its/365collaborate/teams"">Teams</a> &amp; <a href=""https://www2.warwick.ac.uk/services/its/servicessupport/office365/onedrive/"">OneDrive for Business</a>.</p>

<h3>What does it work on?</h3>

<div class=""iconBullet""><i class=""fa fa-windows"" aria-hidden=""true""></i> Windows</div>

<div class=""iconBullet""><i class=""fa fa-apple"" aria-hidden=""true""></i> MacOS</div>

<h3>How to get it</h3>

<h5>ITS Managed machines</h5>

<p>Microsoft Office is available on the Managed Windows 10 Desktop, via Start&gt;All Programs&gt;Microsoft Office.</p>

<p><strong>Do not download from this page if you use the Managed Desktop.</strong></p>

<h5>Unmanaged/Personal machines</h5>

<p>If you use an unmanaged machine, please see the links below.</p>

<div class=""iconBullet""><a href=""http://www2.warwick.ac.uk/services/its/servicessupport/software/microsoft/download""><i class=""fa fa-download"" aria-hidden=""true""></i> Staff Only - University-owned (unmanaged) machines</a></div>

<div class=""iconBullet""><a href=""http://www2.warwick.ac.uk/services/its/servicessupport/software/microsoft/o365proplus""><i class=""fa fa-download"" aria-hidden=""true""></i> Staff &amp; Student personally-owned machines</a></div>

<p><strong>Any staff member or student installing Microsoft software for use on personally-owned machines MUST remove the software when their employment or course at the University ceases.</strong></p>

",1627928989943,microsoft-office365,"<h2>Microsoft Office &amp; Office 365</h2>

<p>Microsoft Office productivity tools include Word, Excel, Access, Publisher, PowerPoint, <a href=""https://warwick.ac.uk/services/its/365collaborate/teams"">Teams</a> &amp; <a href=""https://www2.warwick.ac.uk/services/its/servicessupport/office365/onedrive/"">OneDrive for Business</a>.</p>

<h3>What does it work on?</h3>

<div class=""iconBullet""><i class=""fa fa-windows"" aria-hidden=""true""></i> Windows</div>

<div class=""iconBullet""><i class=""fa fa-apple"" aria-hidden=""true""></i> MacOS</div>

<h3>How to get it</h3>

<h5>ITS Managed machines</h5>

<p>Microsoft Office is available on the Managed Windows 10 Desktop, via Start&gt;All Programs&gt;Microsoft Office.</p>

<p><strong>Do not download from this page if you use the Managed Desktop.</strong></p>

<h5>Unmanaged/Personal machines</h5>

<p>If you use an unmanaged machine, please see the links below.</p>

<div class=""iconBullet""><a href=""http://www2.warwick.ac.uk/services/its/servicessupport/software/microsoft/download""><i class=""fa fa-download"" aria-hidden=""true""></i> Staff Only - University-owned (unmanaged) machines</a></div>

<div class=""iconBullet""><a href=""http://www2.warwick.ac.uk/services/its/servicessupport/software/microsoft/o365proplus""><i class=""fa fa-download"" aria-hidden=""true""></i> Staff &amp; Student personally-owned machines</a></div>

<p><strong>Any staff member or student installing Microsoft software for use on personally-owned machines MUST remove the software when their employment or course at the University ceases.</strong></p>

","Microsoft Office productivity tools include Word, Excel, Access, Publisher, PowerPoint, <a href=""https://warwick.ac.uk/services/its/365collaborate/teams"">Teams</a> &amp; <a href=""https://www2.warwick.ac.uk/services/its/servicessupport/office365/onedrive/"">OneDrive for Business</a>.",Microsoft Office &amp; Office 365,1627928989943,,"Cloud storage,Collaborative,MacOS,Microsoft,Site-wide Licence,Staff,Students,Windows",,Patrick Ryan
2 Microsoft Windows,"<h2>Microsoft Windows</h2>

<p>Windows is a PC operating system.</p>

<h3>What does it work on?</h3>

<div class=""iconBullet""><i class=""fa fa-windows"" aria-hidden=""true""></i> Windows</div>

<div class=""iconBullet""><i class=""fa fa-apple"" aria-hidden=""true""></i> macOS (within a <a href=""http://www2.warwick.ac.uk/services/its/servicessupport/software/list/vmap"">virtual machine</a> or <a href=""https://support.apple.com/boot-camp"">Apple Boot Camp</a>)</div>

<h3>How to get it</h3>

<div class=""iconBullet""><a href=""http://www2.warwick.ac.uk/services/its/servicessupport/software/microsoft/download""><i class=""fa fa-download"" aria-hidden=""true""></i>Staff Only - University-owned (unmanaged) machines</a></div>

<div class=""iconBullet""><a href=""http://www2.warwick.ac.uk/services/its/servicessupport/software/microsoft/workathome""><i class=""fa fa-download"" aria-hidden=""true""></i>Staff personally-owned machines</a></div>

<div class=""iconBullet""><a href=""http://www2.warwick.ac.uk/services/its/servicessupport/software/microsoft/windows10student""><i class=""fa fa-download"" aria-hidden=""true""></i>Student personally-owned machines</a></div>

",1592819726829,microsoft-windows,"<h2>Microsoft Windows</h2>

<p>Windows is a PC operating system.</p>

<h3>What does it work on?</h3>

<div class=""iconBullet""><i class=""fa fa-windows"" aria-hidden=""true""></i> Windows</div>

<div class=""iconBullet""><i class=""fa fa-apple"" aria-hidden=""true""></i> macOS (within a <a href=""http://www2.warwick.ac.uk/services/its/servicessupport/software/list/vmap"">virtual machine</a> or <a href=""https://support.apple.com/boot-camp"">Apple Boot Camp</a>)</div>

<h3>How to get it</h3>

<div class=""iconBullet""><a href=""http://www2.warwick.ac.uk/services/its/servicessupport/software/microsoft/download""><i class=""fa fa-download"" aria-hidden=""true""></i>Staff Only - University-owned (unmanaged) machines</a></div>

<div class=""iconBullet""><a href=""http://www2.warwick.ac.uk/services/its/servicessupport/software/microsoft/workathome""><i class=""fa fa-download"" aria-hidden=""true""></i>Staff personally-owned machines</a></div>

<div class=""iconBullet""><a href=""http://www2.warwick.ac.uk/services/its/servicessupport/software/microsoft/windows10student""><i class=""fa fa-download"" aria-hidden=""true""></i>Student personally-owned machines</a></div>

",Windows is a PC operating system.,Microsoft Windows,1592819726829,,"Students,Microsoft,Operating Systems,Site-wide Licence,Staff,Windows",https://warwick.ac.uk/services/its/servicessupport/software/list/summaries/?selectedLetter=num#def-2-microsoft-windows,Patrick Ryan
3 MATLAB,"<!-- Title of Software, description and OS that it works on-->
<h2>MATLAB</h2>

<p>MATLAB is mathematical software, produced by The MathWorks.</p>

<h3>What does it work on?</h3>

<div class=""iconBullet""><i class=""fa fa-windows"" aria-hidden=""true"">&nbsp;</i> Windows</div>

<div class=""iconBullet""><i class=""fa fa-apple"" aria-hidden=""true"">&nbsp;</i> macOS</div>

<div class=""iconBullet""><i class=""fa fa-linux"" aria-hidden=""true"">&nbsp;</i> Linux</div>

<!-- Instructions to download and links-->
<h3>How to get it</h3>

<h5>ITS Managed machines</h5>

<p>MATLAB is available via the<a href=""https://warwick.ac.uk/services/its/servicessupport/workstationapplcndelivery/managedwindows10desktop/gettingstartedwithmymanagedwindows10desktop/""> Managed Windows 10 Desktop</a> for staff and students through the Software Centre. If you want to use the software on a managed machine you should not download from this page. MATLAB is also available via the ITS Linux systems.</p>

<h5>Unmanaged/Personal machines</h5>

<p>If you use a non-managed/personally-owned machine, you can use the information on these pages to install MATLAB and associated toolboxes under the University's site licence.</p>

<div class=""iconBullet""><a href=""https://warwick.ac.uk/services/its/servicessupport/software/list/matlab/accessmatlab""><i class=""fa fa-download"" aria-hidden=""true""></i> Access the software</a></div>

<!-- End of Software-->
",1638377001692,matlab,"<!-- Title of Software, description and OS that it works on-->
<h2>MATLAB</h2>

<p>MATLAB is mathematical software, produced by The MathWorks.</p>

<h3>What does it work on?</h3>

<div class=""iconBullet""><i class=""fa fa-windows"" aria-hidden=""true"">&nbsp;</i> Windows</div>

<div class=""iconBullet""><i class=""fa fa-apple"" aria-hidden=""true"">&nbsp;</i> macOS</div>

<div class=""iconBullet""><i class=""fa fa-linux"" aria-hidden=""true"">&nbsp;</i> Linux</div>

<!-- Instructions to download and links-->
<h3>How to get it</h3>

<h5>ITS Managed machines</h5>

<p>MATLAB is available via the<a href=""https://warwick.ac.uk/services/its/servicessupport/workstationapplcndelivery/managedwindows10desktop/gettingstartedwithmymanagedwindows10desktop/""> Managed Windows 10 Desktop</a> for staff and students through the Software Centre. If you want to use the software on a managed machine you should not download from this page. MATLAB is also available via the ITS Linux systems.</p>

<h5>Unmanaged/Personal machines</h5>

<p>If you use a non-managed/personally-owned machine, you can use the information on these pages to install MATLAB and associated toolboxes under the University's site licence.</p>

<div class=""iconBullet""><a href=""https://warwick.ac.uk/services/its/servicessupport/software/list/matlab/accessmatlab""><i class=""fa fa-download"" aria-hidden=""true""></i> Access the software</a></div>

<!-- End of Software-->
","MATLAB is mathematical software, produced by The MathWorks.",MATLAB,1638377001692,,"Linux,MacOS,Sciences & Maths,Site-wide Licence,Staff,Students,Windows",,Patrick Ryan
4 SPSS Statistics,"<h2>SPSS Statistics</h2>

<p>SPSS is statistical analysis and Structured Equation Modelling (SEM) software. Our licence also includes AMOS for Windows, which is used for Structured Equation Modelling (SEM), and Text Analysis for Surveys, which is used to convert qualitative survey responses into quantitative data.</p>

<h2>What does it work on?</h2>

<div class=""iconBullet""><i class=""fa fa-windows"" aria-hidden=""true"">&nbsp;</i>Windows</div>

<div class=""iconBullet""><i class=""fa fa-apple"" aria-hidden=""true"">&nbsp;</i>macOS</div>

<div class=""iconBullet""><i class=""fa fa-linux"" aria-hidden=""true"">&nbsp;</i>Linux</div>

<h2>How to get it</h2>

<h5>ITS Managed Machines</h5>

<p>You can install this software via the Software Center on your managed computer, by going to <em>Start&gt;All Programs&gt;Software Center&gt;</em>.<br />
  Do <strong>not </strong>download the software via links on this webpage if you use a managed computer.</p>

<h5>Unmanaged Machines</h5>

<p>You can download for <strong>Windows</strong>, <strong>macOS and Linux from our <a href=""https://warwick.ac.uk/services/its/servicessupport/software/list/spss"">SPSS download page</a></strong>.</p>

",1638802618941,spss-statistics,"<h2>SPSS Statistics</h2>

<p>SPSS is statistical analysis and Structured Equation Modelling (SEM) software. Our licence also includes AMOS for Windows, which is used for Structured Equation Modelling (SEM), and Text Analysis for Surveys, which is used to convert qualitative survey responses into quantitative data.</p>

<h2>What does it work on?</h2>

<div class=""iconBullet""><i class=""fa fa-windows"" aria-hidden=""true"">&nbsp;</i>Windows</div>

<div class=""iconBullet""><i class=""fa fa-apple"" aria-hidden=""true"">&nbsp;</i>macOS</div>

<div class=""iconBullet""><i class=""fa fa-linux"" aria-hidden=""true"">&nbsp;</i>Linux</div>

<h2>How to get it</h2>

<h5>ITS Managed Machines</h5>

<p>You can install this software via the Software Center on your managed computer, by going to <em>Start&gt;All Programs&gt;Software Center&gt;</em>.<br />
  Do <strong>not </strong>download the software via links on this webpage if you use a managed computer.</p>

<h5>Unmanaged Machines</h5>

<p>You can download for <strong>Windows</strong>, <strong>macOS and Linux from our <a href=""https://warwick.ac.uk/services/its/servicessupport/software/list/spss"">SPSS download page</a></strong>.</p>

","SPSS is statistical analysis and Structured Equation Modelling (SEM) software. Our licence also includes AMOS for Windows, which is used for Structured Equation Modelling (SEM), and Text Analysis for Surveys, which is used to convert qualitative survey responses into quantitative data.",SPSS Statistics,1638802618941,,"Linux,MacOS,Site-wide Licence,Staff,Statistics & Analysis,Students,Windows",,Patrick Ryan
5 AVG Free & Avast,"<h2>AVG Free &amp; Avast (For staff and students)</h2>

<h4>How to get it for a personally-owned machine</h4>

<ul>
  <li><a target=""_blank"" href=""http://www.avg.com/us-en/free-antivirus-download"" rel=""noopener"">Download AVG Free for Windows</a>. Supported on Windows 10</li>
  <li><a target=""_blank"" href=""http://www.avast.com/index"" rel=""noopener"">Download Avast Free for Mac</a>. Supported on all macOS releases from 10.6 (Snow Leopard) up to and including 10.15 (macOS Catalina)</li>
  <li><a target=""_blank"" href=""http://free.avg.com/us-en/download-free-all-product"" rel=""noopener"">Download AVG Free for Linux</a>  </li>
</ul>

<p class=""helpbox"">We recommend that you read the <a href=""http://support.avg.com/"" target=""_blank"" rel=""noopener"">AVG Support page</a> and <a href=""http://www.avast.com/en-us/support"" target=""_blank"" rel=""noopener"">Avast Support page</a> before downloading.</p>

",1638377220350,avg-free-avast,"<h2>AVG Free &amp; Avast (For staff and students)</h2>

<h4>How to get it for a personally-owned machine</h4>

<ul>
  <li><a target=""_blank"" href=""http://www.avg.com/us-en/free-antivirus-download"" rel=""noopener"">Download AVG Free for Windows<i class='new-window-link' title='Link opens in a new window'></i></a>. Supported on Windows 10</li>
  <li><a target=""_blank"" href=""http://www.avast.com/index"" rel=""noopener"">Download Avast Free for Mac<i class='new-window-link' title='Link opens in a new window'></i></a>. Supported on all macOS releases from 10.6 (Snow Leopard) up to and including 10.15 (macOS Catalina)</li>
  <li><a target=""_blank"" href=""http://free.avg.com/us-en/download-free-all-product"" rel=""noopener"">Download AVG Free for Linux<i class='new-window-link' title='Link opens in a new window'></i></a>  </li>
</ul>

<p class=""helpbox"">We recommend that you read the <a href=""http://support.avg.com/"" target=""_blank"" rel=""noopener"">AVG Support page<i class='new-window-link' title='Link opens in a new window'></i></a> and <a href=""http://www.avast.com/en-us/support"" target=""_blank"" rel=""noopener"">Avast Support page<i class='new-window-link' title='Link opens in a new window'></i></a> before downloading.</p>

","We recommend that you read the <a href=""http://support.avg.com/"" target=""_blank"" rel=""noopener"">AVG Support page<i class=""new-window-link"" title=""Link opens in a new window""></i></a> and <a href=""http://www.avast.com/en-us/support"" target=""_blank"" rel=""noopener"">Avast Support page<i class=""new-window-link"" title=""Link opens in a new window""></i></a> before downloading.",AVG Free &amp; Avast (For staff and students),1638377220350,,"Anti-virus & Security,Free of Charge,Linux,MacOS,Staff,Students,Windows",,Patrick Ryan
6 Kaspersky Anti-Virus,"<!-- Title of Software, description and OS that it works on-->
<h2>Kaspersky Anti-Virus (Staff only)</h2>
<p>Kaspersky is being withdrawn at Warwick. Please see our <a href=""https://warwick.ac.uk/services/its/servicessupport/software/antivirus-latest/"">anti-virus pages</a> for more information</p>",1675273711606,kaspersky-antivirus,"<!-- Title of Software, description and OS that it works on-->
<h2>Kaspersky Anti-Virus (Staff only)</h2>
<p>Kaspersky is being withdrawn at Warwick. Please see our <a href=""https://warwick.ac.uk/services/its/servicessupport/software/antivirus-latest/"">anti-virus pages</a> for more information</p>","Kaspersky is being withdrawn at Warwick. Please see our <a href=""https://warwick.ac.uk/services/its/servicessupport/software/antivirus-latest/"">anti-virus pages</a> for more information",Kaspersky Anti-Virus (Staff only),1675273711606,,"Anti-virus & Security,Linux,MacOS,Site-wide Licence,Staff,Windows",,Patrick Ryan
7-Zip,"<h2>7-Zip</h2>

<p>7-Zip is a free, Open Source file archiving application.</p>

<h2>What does it work on?</h2>

<div class=""iconBullet""><i class=""fa fa-windows"" aria-hidden=""true""></i> Windows</div>

<h2>How to get it</h2>

<h5>ITS Managed Machines</h5>

<p>Do not download from this page. 7-Zip is available to install from Software Center on managed computers.</p>

<h5>Unmanaged Machines</h5>

<p>You can download it from the 7-Zip website.</p>

<div class=""iconBullet""><i class=""fa fa-download"" aria-hidden=""true""></i><a href=""http://www.7-zip.org/""> 7-Zip website</a></div>

",1638377475880,def-7zip,"<h2>7-Zip</h2>

<p>7-Zip is a free, Open Source file archiving application.</p>

<h2>What does it work on?</h2>

<div class=""iconBullet""><i class=""fa fa-windows"" aria-hidden=""true""></i> Windows</div>

<h2>How to get it</h2>

<h5>ITS Managed Machines</h5>

<p>Do not download from this page. 7-Zip is available to install from Software Center on managed computers.</p>

<h5>Unmanaged Machines</h5>

<p>You can download it from the 7-Zip website.</p>

<div class=""iconBullet""><i class=""fa fa-download"" aria-hidden=""true""></i><a href=""http://www.7-zip.org/""> 7-Zip website</a></div>

","7-Zip is a free, Open Source file archiving application.",7-Zip,1638377475880,,"Free of Charge,General,Staff,Students,Windows",,Patrick Ryan
Adobe Acrobat Reader,"<h2>Adobe Acrobat Reader</h2>
<p>Adobe's free PDF viewing &amp; printing software.</p>
<h2>What does it work on?</h2>
<div class=""iconBullet""><i class=""fa fa-windows"" aria-hidden=""true"">&nbsp;</i>Windows</div>
<div class=""iconBullet""><i class=""fa fa-apple"" aria-hidden=""true"">&nbsp;</i>macOS</div>
<h2>How to get it</h2>
<h5>IDG Managed Machines</h5>
<p>Do not download from this page. The software is pre-installed and can be accessed via the <a href=""http://www2.warwick.ac.uk/services/its/servicessupport/workstationapplcndelivery/w7managed/gettingstartedguide/software/"">Start menu</a></p>
<h5>Unmanaged Machines*</h5>
<p>Download direct from the <a href=""https://get.adobe.com/reader/"">Adobe web page</a></p>
<p><em>*Notes: </em><em>The latest version (Acrobat Reader DC) includes functionality to save PDFs to Adobe's cloud storage. IT Services strongly advises against using this feature since we have not approved this for handling of university documents. You should instead use University-approved cloud storage, such as OneDrive for Business.</em></p>
<p><em>You may also want to ensure you uncheck the boxes for the McAfee and Intel software that are selected for download by default on the Adobe download page. </em></p>",1660926650467,adobe-acrobat-reader,"<h2>Adobe Acrobat Reader</h2>
<p>Adobe's free PDF viewing &amp; printing software.</p>
<h2>What does it work on?</h2>
<div class=""iconBullet""><i class=""fa fa-windows"" aria-hidden=""true"">&nbsp;</i>Windows</div>
<div class=""iconBullet""><i class=""fa fa-apple"" aria-hidden=""true"">&nbsp;</i>macOS</div>
<h2>How to get it</h2>
<h5>IDG Managed Machines</h5>
<p>Do not download from this page. The software is pre-installed and can be accessed via the <a href=""http://www2.warwick.ac.uk/services/its/servicessupport/workstationapplcndelivery/w7managed/gettingstartedguide/software/"">Start menu</a></p>
<h5>Unmanaged Machines*</h5>
<p>Download direct from the <a href=""https://get.adobe.com/reader/"">Adobe web page</a></p>
<p><em>*Notes: </em><em>The latest version (Acrobat Reader DC) includes functionality to save PDFs to Adobe's cloud storage. IT Services strongly advises against using this feature since we have not approved this for handling of university documents. You should instead use University-approved cloud storage, such as OneDrive for Business.</em></p>
<p><em>You may also want to ensure you uncheck the boxes for the McAfee and Intel software that are selected for download by default on the Adobe download page. </em></p>",Adobe's free PDF viewing &amp; printing software.,Adobe Acrobat Reader,1660926650467,,"Free of Charge,General,MacOS,Staff,Students,Windows",,Patrick Ryan
Adobe Creative Cloud,"<h2>Adobe Creative Cloud</h2>
<p>Numerous software applications encompassing various areas of functionality, including photo &amp; video editing, graphic design, web development and more.<br />There is no site licence available and so departments must purchase their own subscriptions.</p>
<h3>What does it work on?</h3>
<div class=""iconBullet""><i class=""fa fa-windows"" aria-hidden=""true"">&nbsp;</i>Windows</div>
<div class=""iconBullet""><i class=""fa fa-apple"" aria-hidden=""true"">&nbsp;</i>macOS</div>
<h3>How to get it</h3>
<p><a href=""../creativecloud/"">Adobe Creative Cloud at Warwick</a> (staff only)</p>
<p><a href=""https://creative.adobe.com/plans?plan=edu&amp;store_code=gb&amp;promoid=KTROQ"">Adobe student purchase</a></p>
<h3>Adobe Alternatives</h3>
<p><b>You can <a href=""../adobe/"">find alternatives for Adobe software through this page.</a></b></p>",1654799644729,adobe-creative-cloud,"<h2>Adobe Creative Cloud</h2>
<p>Numerous software applications encompassing various areas of functionality, including photo &amp; video editing, graphic design, web development and more.<br />There is no site licence available and so departments must purchase their own subscriptions.</p>
<h3>What does it work on?</h3>
<div class=""iconBullet""><i class=""fa fa-windows"" aria-hidden=""true"">&nbsp;</i>Windows</div>
<div class=""iconBullet""><i class=""fa fa-apple"" aria-hidden=""true"">&nbsp;</i>macOS</div>
<h3>How to get it</h3>
<p><a href=""../creativecloud/"">Adobe Creative Cloud at Warwick</a> (staff only)</p>
<p><a href=""https://creative.adobe.com/plans?plan=edu&amp;store_code=gb&amp;promoid=KTROQ"">Adobe student purchase</a></p>
<h3>Adobe Alternatives</h3>
<p><b>You can <a href=""../adobe/"">find alternatives for Adobe software through this page.</a></b></p>","Numerous software applications encompassing various areas of functionality, including photo &amp; video editing, graphic design, web development and more.<br>There is no site licence available and so departments must purchase their own subscriptions.",Adobe Creative Cloud,1654799644729,,"Departments must Purchase Individually,Design,General,Staff,Students,Video Editing,Windows",,Patrick Ryan
ArcGIS Desktop Advanced,"<h2>ArcGIS Desktop Advanced</h2>

<p>ArcGIS is a GIS system for Windows that lets you author data, maps, globes, and models. The software exists in three licensing and functional levels: Basic, Standard and Advanced. Warwick's Chest agreement for the software covers the most feature-rich version: Advanced. Please see the <a href=""http://www.esri.com/library/brochures/pdfs/arcgis10-functionality-matrix.pdf"" target=""_blank"" rel=""noopener"">functionality matrix</a> for more details on what is included with ArcGIS Advanced.</p>

<h2>What does it work on?</h2>

<div class=""iconBullet""><i class=""fa fa-windows"" aria-hidden=""true"">&nbsp;</i>Windows</div>

<h2>How to get it</h2>

<p>Can be downloaded via <a href=""https://warwick.ac.uk/services/its/servicessupport/software/gis/arcgis/"">this page</a>.</p>

",1638377784845,arcgis-desktop-advanced,"<h2>ArcGIS Desktop Advanced</h2>

<p>ArcGIS is a GIS system for Windows that lets you author data, maps, globes, and models. The software exists in three licensing and functional levels: Basic, Standard and Advanced. Warwick's Chest agreement for the software covers the most feature-rich version: Advanced. Please see the <a href=""http://www.esri.com/library/brochures/pdfs/arcgis10-functionality-matrix.pdf"" target=""_blank"" rel=""noopener"">functionality matrix<i class='new-window-link' title='Link opens in a new window'></i></a> for more details on what is included with ArcGIS Advanced.</p>

<h2>What does it work on?</h2>

<div class=""iconBullet""><i class=""fa fa-windows"" aria-hidden=""true"">&nbsp;</i>Windows</div>

<h2>How to get it</h2>

<p>Can be downloaded via <a href=""https://warwick.ac.uk/services/its/servicessupport/software/gis/arcgis/"">this page</a>.</p>

","ArcGIS is a GIS system for Windows that lets you author data, maps, globes, and models. The software exists in three licensing and functional levels: Basic, Standard and Advanced. Warwick's Chest agreement for the software covers the most feature-rich version: Advanced. Please see the <a href=""http://www.esri.com/library/brochures/pdfs/arcgis10-functionality-matrix.pdf"" target=""_blank"" rel=""noopener"">functionality matrix<i class=""new-window-link"" title=""Link opens in a new window""></i></a> for more details on what is included with ArcGIS Advanced.",ArcGIS Desktop Advanced,1638377784845,,"Geographic Information System,Site-wide Licence by a Department,Staff,Students,Windows",,Patrick Ryan
